Cap,Nº carateres,totpos,quanpos,totneg,quanneg,palavras,rationeg
0,10355,32.5,34,81.0,88,1728,0.8643303261623873
1,6177,27.5,28,32.5,35,1069,0.8643303261623873
2,18003,84.5,90,115.0,121,3048,0.8643303261623873
3,22067,103.0,113,131.5,140,3741,0.8643303261623873
4,42428,203.0,229,169.0,182,7242,0.8643303261623873
5,21867,131.0,139,114.5,125,3674,0.8643303261623873
6,11374,48.0,49,92.0,98,1890,0.8643303261623873
7,26316,148.5,159,123.0,131,4393,0.8643303261623873
8,11365,50.0,52,53.5,57,1873,0.8643303261623873
9,41383,211.5,220,209.5,234,7060,0.8643303261623873
10,43856,185.5,191,273.0,293,7370,0.8643303261623873
11,6622,20.5,21,46.5,51,1100,0.8643303261623873
